% 0 Vehicle HH,LILATracts_halfAnd10,Pedestrian Network Density,Walkability,Transit Frequency,Life Expectancy Predictions
0.079575597,0,21.21670104,13.0,22.86772718,80.219
0.004154303,0,8.585197356,8.666666667,-99999.0,81.19800000000001
0.012160229,0,9.759775105,6.5,-99999.0,80.15400000000005
0.509433962,1,15.69111108,15.83333333,34.34689658,69.575
0.502183406,0,23.33875671,19.83333333,83.75546083,70.689
0.0,0,17.32552254,10.33333333,-99999.0,79.278
0.246268657,0,10.10871361,14.16666667,104.3719407,71.65800000000002
0.1,0,17.38330806,11.33333333,52.94812375,76.52999999999997
0.024489796,0,26.22913321,14.83333333,22.18178056,79.87999999999994
0.116883117,0,10.50607434,8.333333333,-99999.0,80.42599999999997
0.013953488,0,7.603851656,4.666666667,-99999.0,80.42299999999997
0.0,0,18.6875064,11.16666667,12.29106797,78.93100000000003
0.509433962,1,17.4169789,13.5,209.9061024,70.877
0.167346939,1,11.99655639,14.83333333,34.16885169,72.672
0.071721311,0,10.44267545,6.5,-99999.0,78.19000000000004
0.669172932,0,13.32287244,11.5,495.3564737,67.84200000000004
0.0,0,18.52206788,12.0,2.226949335,78.41599999999998
0.0,0,15.01135369,6.833333333,-99999.0,78.18599999999998
0.485380117,0,34.21844955,13.16666667,154.5997828,68.37200000000001
0.016911437,0,10.02116062,9.666666667,-99999.0,80.775
0.014869888,0,16.1236064,7.333333333,-99999.0,79.44000000000004
0.16713881,0,22.05633091,17.0,9.333867481,76.06
0.13225058,1,25.23334394,9.333333333,-99999.0,75.55
0.446153846,0,21.15100752,15.0,49.01650761,70.97900000000003
0.010638298,1,9.212039009,11.16666667,2.572694266,75.82800000000005
0.110315186,1,19.25318072,13.5,17.21159311,76.26900000000002
0.0,0,18.00095492,16.33333333,5.444582579,79.976
0.037931034,0,23.59558925,14.16666667,30.20796524,79.70000000000002
0.083657588,1,6.697759609,13.0,1.018850582,74.00900000000001
0.111111111,0,6.348586821,12.83333333,1.242586357,79.52199999999998
0.264604811,1,13.1780536,10.16666667,4.252537142,73.10799999999996
0.057026477,0,5.777570059,7.833333333,-99999.0,79.24900000000001
0.0,0,19.21847561,9.333333333,-99999.0,81.351
0.093283582,1,24.00736902,12.5,-99999.0,74.57199999999997
0.026192075,0,7.887272585,7.5,-99999.0,80.13800000000003
0.263333333,0,42.39560778,18.16666667,899.570049,73.04800000000002
0.043771044,0,10.03699834,7.333333333,-99999.0,80.447
0.286549708,0,18.29935559,16.33333333,104.4659733,73.76800000000001
0.562043796,1,14.15010267,16.0,43.91220845,69.12200000000004
0.127413127,1,9.176177804,14.66666667,9.397562844,74.73200000000001
0.146496815,0,19.42931514,10.16666667,51.88994712,76.44699999999999
0.026109661,1,16.33603749,12.0,2.719506629,77.04300000000003
0.115681234,0,37.35354463,19.83333333,174.0969996,78.82599999999996
