census_tract_number,Walkability,Total Population,% 0 Vehicle HH,% 1 Vehicle HH,% 2+ Vehicle HH,% Low Wage Workers,Population Density,Employment Density,Pedestrian Network Density,Transit Frequency,state_x,county_x,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,state_y,county_y,life_expectancy,obesity
40109102000,13.16666667,1800,0.104039168,0.405140759,0.490820073,0.245517241,10.96906347,0.74955267,14.35108304,26.0137434,Oklahoma,Oklahoma County,0,1,0,0,OK,Oklahoma City,74.9,31.7
40109102200,13.66666667,1198,0.025510204,0.367346939,0.607142857,0.278106509,7.853777608,2.025723941,15.52178198,16.07028935,Oklahoma,Oklahoma County,0,1,0,0,OK,Oklahoma City,67.6,38.4
40109104400,13.0,891,0.141104294,0.187116564,0.671779141,0.302777778,6.807938652,0.152815682,18.94192943,16.92175955,Oklahoma,Oklahoma County,0,1,0,0,OK,Oklahoma City,72.1,42.9
40109106609,15.66666667,963,0.0,0.660071942,0.339928058,0.212538226,4.075529421,4.253278368,16.44175855,5.355713593,Oklahoma,Oklahoma County,0,0,0,0,OK,Oklahoma City,79.3,27.1
40109106708,5.166666667,2322,0.006042296,0.211480363,0.782477341,0.215017065,1.016911488,0.222914706,4.434553589,-99999.0,Oklahoma,Oklahoma County,0,0,0,0,OK,Oklahoma City,79.8,27.0
55133203103,13.0,1350,0.065335753,0.388384755,0.546279492,0.255462185,15.62303446,1.087826103,12.3796246,17.25708814,Wisconsin,Waukesha County,0,0,0,0,WI,Waukesha,78.7,33.6
55133203102,11.33333333,746,0.081632653,0.379008746,0.539358601,0.206666667,10.27475382,1.115623404,10.76682796,32.35032408,Wisconsin,Waukesha County,0,0,0,0,WI,Waukesha,78.1,29.5
55133203101,18.33333333,1699,0.180497925,0.557053942,0.262448133,0.219047619,5.786811152,4.029309943,13.76560193,3.536882892,Wisconsin,Waukesha County,0,0,0,0,WI,Waukesha,82.5,29.4
55133201300,7.666666667,1508,0.0,0.104700855,0.895299145,0.238421955,0.956216756,0.308804748,3.175404201,-99999.0,Wisconsin,Waukesha County,0,0,0,0,WI,Waukesha,81.7,29.3
55133202202,11.16666667,699,0.126684636,0.318059299,0.555256065,0.279635258,7.55725431,1.751466664,10.03940108,7.212147711,Wisconsin,Waukesha County,1,1,1,1,WI,Waukesha,72.0,33.4
55133202302,15.16666667,986,0.080229226,0.160458453,0.759312321,0.242152466,12.06706061,2.545586822,15.72862969,41.74762387,Wisconsin,Waukesha County,0,1,0,1,WI,Waukesha,77.3,35.8
55133203804,5.833333333,1457,0.0,0.216071429,0.783928571,0.207286432,1.317146147,0.112097544,6.260581975,-99999.0,Wisconsin,Waukesha County,0,0,0,0,WI,Waukesha,78.3,29.3
55133202500,10.33333333,950,0.014018692,0.26635514,0.719626168,0.212264151,11.8289115,0.024902972,19.28281266,10.5987047,Wisconsin,Waukesha County,0,0,0,0,WI,Waukesha,81.5,32.4
55133202600,14.0,1346,0.436305732,0.24522293,0.318471338,0.304672897,13.65196182,4.797457608,15.92354194,8.633395171,Wisconsin,Waukesha County,1,1,1,1,WI,Waukesha,78.1,30.0
55133202902,14.16666667,1267,0.096062992,0.456692913,0.447244094,0.247877759,3.306576078,4.222604652,6.614123068,7.524838322,Wisconsin,Waukesha County,0,0,0,0,WI,Waukesha,82.3,27.1
55133202800,17.33333333,1132,0.2,0.438181818,0.361818182,0.247135843,11.20986199,4.317579351,22.7966637,-99999.0,Wisconsin,Waukesha County,0,0,0,0,WI,Waukesha,73.3,34.1
55133202101,4.166666667,676,0.064935065,0.194805195,0.74025974,0.204597701,0.659936842,0.083956462,3.964123159,2.08055828,Wisconsin,Waukesha County,0,0,0,0,WI,Waukesha,85.2,28.8
55133202901,13.83333333,1169,0.011547344,0.344110855,0.644341801,0.194256757,3.587088274,1.113869156,7.923397282,5.590615374,Wisconsin,Waukesha County,0,0,0,0,WI,Waukesha,84.4,27.5
55133202400,13.33333333,1135,0.028282828,0.365656566,0.606060606,0.2109375,4.010524752,1.438135308,13.5243637,14.31492324,Wisconsin,Waukesha County,0,0,0,0,WI,Waukesha,79.5,30.0
55133202301,7.5,2215,0.016233766,0.270562771,0.713203463,0.234265734,2.856508957,0.359804063,7.499181553,0.552989183,Wisconsin,Waukesha County,0,0,0,0,WI,Waukesha,83.4,31.4
55133202102,11.0,746,0.026058632,0.413680782,0.560260586,0.22754491,5.112131801,0.089085407,10.7753768,18.99026815,Wisconsin,Waukesha County,0,0,0,0,WI,Waukesha,83.3,29.8
55133203000,6.5,1032,0.089588378,0.377723971,0.532687651,0.229208925,0.512339898,2.773188632,2.180369495,0.414795596,Wisconsin,Waukesha County,1,1,1,1,WI,Waukesha,78.9,33.1
