% 0 Vehicle HH,LILATracts_halfAnd10,Employment Density,Pedestrian Network Density,Walkability,Transit Frequency,Rate of Obesity Predictions
0.263333333,0,22.94511443,42.39560778,18.16666667,899.570049,31.08800000000001
0.043771044,0,1.736161872,10.03699834,7.333333333,-99999.0,28.482833333333318
0.286549708,0,13.43184772,18.29935559,16.33333333,104.4659733,36.087999999999994
0.562043796,1,0.891966742,14.15010267,16.0,43.91220845,47.213999999999984
0.127413127,1,12.97726294,9.176177804,14.66666667,9.397562844,36.13799999999999
0.146496815,0,0.098518169,19.42931514,10.16666667,51.88994712,33.043000000000006
0.026109661,1,3.632713618,16.33603749,12.0,2.719506629,38.694000000000024
0.115681234,0,99.60060362,37.35354463,19.83333333,174.0969996,28.077500000000004
0.022140221,0,0.390949519,20.94514963,11.83333333,17.80962264,30.021333333333317
0.188481675,0,7.963131874,30.44784279,17.0,119.961535,33.74600000000001
0.25,1,1.964782848,16.60825013,14.66666667,52.76060575,42.051000000000016
0.115631692,1,7.357558553,12.6411959,15.5,166.6746118,32.60099999999998
0.06835443,1,0.159296172,23.3951893,13.0,32.194596,42.38099999999999
0.270893372,1,1.487072942,18.55164264,14.33333333,8.16932775,41.75200000000002
0.040336134,0,3.095518868,10.5445425,7.833333333,-99999.0,26.764833333333332
0.131198347,0,6.922949647,22.30306348,15.0,363.9941798,29.186000000000003
0.0,0,1.022471132,9.799872945,8.666666667,-99999.0,26.503999999999987
0.010989011,0,8.465425121,4.48602422,6.833333333,5.362064375,29.982750000000006
0.0,0,0.33662611,13.57662843,5.5,-99999.0,27.338999999999963
0.065315315,0,2.063743467,9.668960545,14.16666667,11.9769737,31.3405
0.026986507,0,2.283589591,6.311654535,9.166666667,-99999.0,29.11933333333333
0.101123596,1,2.146848204,16.48046223,9.666666667,-99999.0,35.11999999999998
0.055248619,0,0.255864265,14.51222667,7.5,-99999.0,31.337666666666667
0.018324607,0,0.606170314,11.44316846,6.0,-99999.0,30.170499999999997
0.0,0,0.164416436,3.681928608,5.0,-99999.0,30.34916666666665
0.215316315,0,2.109917284,18.89883142,8.333333333,-99999.0,36.48099999999998
0.101369863,0,5.401229986,36.61773925,15.0,568.2677862,26.978000000000005
0.0,1,18.81892574,1.732328417,4.666666667,-99999.0,35.24000000000003
0.08907563,0,2.529483257,21.04230134,11.83333333,-99999.0,30.851000000000017
0.01217862,0,7.533949468,10.94309445,9.833333333,-99999.0,25.688666666666656
0.613861386,0,2.304086581,32.1653545,16.16666667,492.9391293,45.89400000000003
0.238095238,1,7.799096297,14.32270466,15.83333333,76.93906174,37.963
0.030063291,0,0.028424212,15.74074002,10.83333333,6.063831893,30.805000000000003
0.008648649,0,1.006400504,16.71754114,9.833333333,-99999.0,29.391000000000012
0.217592593,1,5.790754143,21.63092969,18.5,590.0746121,35.709999999999994
0.187394958,1,6.047223293,17.87308939,14.66666667,6.009662899,34.907
0.069686411,1,1.824673468,8.303054126,14.83333333,17.93097549,39.15800000000001
0.213333333,1,2.703529984,12.94703754,7.333333333,-99999.0,37.065000000000026
0.0,1,0.121630476,24.16807344,12.0,7.076682367,37.345
